etps, fit^2, , , poly^2, , , fit^3, , , , poly^3, , , , 
165, 9.01030763e+00, -3.97741273e-04,  3.78228026e-06,  3.78228026e-06, -3.97741273e-04,  9.01030763e+00,  8.65985600e+00,  1.90530770e-03, -1.02988730e-06,  3.21502376e-09,  3.21502376e-09, -1.02988730e-06,  1.90530770e-03,  8.65985600e+00
170, 8.94101603e+00, 4.80587515e-05, 3.17031990e-06, 3.17031990e-06, 4.80587515e-05, 8.94101603e+00, 8.81133928e+00, 9.00250318e-04, 1.38968533e-06, 1.18964736e-09, 1.18964736e-09, 1.38968533e-06, 9.00250318e-04, 8.81133928e+00
175, 9.07772513e+00, -5.90099391e-04,  3.59605688e-06,  3.59605688e-06, -5.90099391e-04,  9.07772513e+00,  8.19236527e+00,  5.22818473e-03, -8.56111320e-06,  8.12224225e-09,  8.12224225e-09, -8.56111320e-06,  5.22818473e-03,  8.19236527e+00
180, 9.09298126e+00, -7.37122459e-04,  3.44382833e-06,  3.44382833e-06, -7.37122459e-04,  9.09298126e+00,  9.25057104e+00, -1.77274895e-03,  5.60774591e-06, -1.44571991e-09, -1.44571991e-09,  5.60774591e-06, -1.77274895e-03,  9.25057104e+00
185, 8.55138902e+00, 8.25694884e-04, 2.06123335e-06, 2.06123335e-06, 8.25694884e-04, 8.55138902e+00,  8.66920425e+00,  5.14532671e-05,  3.67899330e-06, -1.08083034e-09, -1.08083034e-09,  3.67899330e-06,  5.14532671e-05,  8.66920425e+00
190, 8.89413238e+00, -1.04315253e-03,  3.71894171e-06,  3.71894171e-06, -1.04315253e-03,  8.89413238e+00,  8.43591221e+00,  1.96811471e-03, -2.57303154e-06,  4.20368643e-09,  4.20368643e-09, -2.57303154e-06,  1.96811471e-03,  8.43591221e+00
195, 8.62582364e+00, -3.40817331e-04,  2.94973707e-06,  2.94973707e-06, -3.40817331e-04,  8.62582364e+00,  8.62682243e+00, -3.47381058e-04,  2.96345182e-06, -9.16287046e-12, -9.16287046e-12,  2.96345182e-06, -3.47381058e-04,  8.62682243e+00
200, 8.64674826e+00, -5.32885480e-04,  3.02298207e-06,  3.02298207e-06, -5.32885480e-04,  8.64674826e+00,  8.59259911e+00, -1.77035650e-04,  2.27944208e-06,  4.96761324e-10,  4.96761324e-10,  2.27944208e-06, -1.77035650e-04,  8.59259911e+00
205, 8.59355560e+00, -4.45779615e-04,  2.88372909e-06,  2.88372909e-06, -4.45779615e-04,  8.59355560e+00,  8.60262728e+00, -5.05395641e-04,  3.00829540e-06, -8.32231293e-11, -8.32231293e-11,  3.00829540e-06, -5.05395641e-04,  8.60262728e+00
210, 8.39190578e+00, 4.59029974e-04, 1.91375196e-06, 1.91375196e-06, 4.59029974e-04, 8.39190578e+00, 8.34732980e+00, 7.51968174e-04, 1.30166437e-06, 4.08937580e-10, 4.08937580e-10, 1.30166437e-06, 7.51968174e-04, 8.34732980e+00
215, 8.69426707e+00, -4.88319156e-04,  2.57683983e-06,  2.57683983e-06, -4.88319156e-04,  8.69426707e+00,  9.23600140e+00, -4.04841304e-03,  1.00155737e-05, -4.96984066e-09, -4.96984066e-09,  1.00155737e-05, -4.04841304e-03,  9.23600140e+00
220, 8.80734722e+00, -4.36444148e-04,  2.32091982e-06,  2.32091982e-06, -4.36444148e-04,  8.80734722e+00,  8.56748347e+00,  1.13985889e-03, -9.72728911e-07,  2.20049672e-09,  2.20049672e-09, -9.72728911e-07,  1.13985889e-03,  8.56748347e+00
225, 9.00246626e+00, -9.37001957e-04,  2.58490852e-06,  2.58490852e-06, -9.37001957e-04,  9.00246626e+00,  1.10381163e+01, -1.43146020e-02,  3.05370944e-05, -1.86749403e-08, -1.86749403e-08,  3.05370944e-05, -1.43146020e-02,  1.10381163e+01
230, 8.92379156e+00, -7.20591986e-04,  2.40716025e-06,  2.40716025e-06, -7.20591986e-04,  8.92379156e+00,  9.12586675e+00, -2.04856145e-03,  5.18192172e-06, -1.85382656e-09, -1.85382656e-09,  5.18192172e-06, -2.04856145e-03,  9.12586675e+00
235, 8.73458568e+00, -2.69740605e-04,  1.95633465e-06,  1.95633465e-06, -2.69740605e-04,  8.73458568e+00,  8.80501490e+00, -7.32577452e-04,  2.92342154e-06, -6.46113686e-10, -6.46113686e-10,  2.92342154e-06, -7.32577452e-04,  8.80501490e+00
240, 8.78912479e+00, -8.40799727e-04,  2.33374802e-06,  2.33374802e-06, -8.40799727e-04,  8.78912479e+00,  9.11806448e+00, -3.00247955e-03,  6.85052800e-06, -3.01767442e-09, -3.01767442e-09,  6.85052800e-06, -3.00247955e-03,  9.11806448e+00
244, 8.55623115e+00, -1.46660170e-04,  1.65064771e-06,  1.65064771e-06, -1.46660170e-04,  8.55623115e+00,  8.15466137e+00,  2.49231993e-03, -3.86344016e-06,  3.68397886e-09,  3.68397886e-09, -3.86344016e-06,  2.49231993e-03,  8.15466137e+00
